website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,condition,current_use,square_footage,floor,elevator,buildable,construction_year,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1279617/,"US$ 3,500/Mes",198635.85,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,170,6,2,No,2018,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,19,https://img.supercasas.com/AdsPhotos/800x600/0/8793597.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1293836/,"US$ 1,800/Mes",102155.58,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,130,0,0,No,N/D,1/2 Ba�o-Agua Potable-Balc�n-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Piscina-Seguridad 24 Horas-Terraza-Walk In Closet,12,https://img.supercasas.com/AdsPhotos/800x600/0/8945686.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296023/,"US$ 1,300/Mes",73779.03,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,85,0,0,No,N/D,1/2 Ba�o-Agua Potable-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Piscina-Terraza,8,https://img.supercasas.com/AdsPhotos/800x600/0/8967784.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1292532/,"US$ 2,500/Mes",141882.75,Los Cacicazgos,3.0,3.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,188,5,1,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,19,https://img.supercasas.com/AdsPhotos/800x600/0/8931041.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista/1295282/,"US$ 1,600/Mes",90804.96,Bella Vista,2.0,2.0,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,118,4,1,No,2020,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores,16,https://img.supercasas.com/AdsPhotos/800x600/0/8959810.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1295290/,"US$ 1,200/Mes",68103.72,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,65,10,2,No,2022,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Walk In Closet,16,https://img.supercasas.com/AdsPhotos/800x600/0/8959892.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista-norte/1302110/,US$ 750/Mes,42564.825,Bella Vista Norte,2.0,2.5,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Remodelada,Residencial,160,4,0,No,2015,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Inversor-Planta El�ctrica-Pozo-Seguridad 24 Horas,12,https://img.supercasas.com/AdsPhotos/800x600/0/9030673.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1301768/,"US$ 1,600/Mes",90804.96,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,148,7,2,No,2023,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Picuzzi-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,20,https://img.supercasas.com/AdsPhotos/800x600/0/9027403.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1292330/,"US$ 2,500/Mes",141882.75,Los Cacicazgos,2.0,3.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,0,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Piscina-Seguridad 24 Horas-Terraza-Vestidores,12,https://img.supercasas.com/AdsPhotos/800x600/0/8928735.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1282716/,"US$ 1,700/Mes",96480.27,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,155,9,1,No,N/D,1/2 Ba�o-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,14,https://img.supercasas.com/AdsPhotos/800x600/0/8826710.jpg
