website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,square_footage,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/apartamentos-alquiler-gala/1306036/,US$ 800/Mes,43872.0,Gala,2.0,2.5,"Gala, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,107.0,1/2 Ba�o-Ascensor-Balc�n-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Terraza,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073496.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1304176/,"US$ 1,850/Mes",101454.0,Naco,3.0,3.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,175.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Lobby-Planta El�ctrica-Seguridad 24 Horas-Vestidores-Walk In Closet,14.0,https://img.supercasas.com/AdsPhotos/800x600/0/9053449.jpg
supercasas,https://www.supercasas.com/penthouse-alquiler-piantini/1304181/,"US$ 1,600/Mes",87744.0,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,230.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Family Room-Lobby-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,16.0,https://img.supercasas.com/AdsPhotos/800x600/0/9053494.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1306035/,"US$ 2,150/Mes",117906.00000000001,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,166.0,Ascensor-Balc�n-Cuarto de Servicio-Estudio-Planta El�ctrica,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073491.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1304494/,"US$ 3,000/Mes",164520.0,Piantini,3.0,3.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,210.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estudio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Vestidores-Walk In Closet,18.0,https://img.supercasas.com/AdsPhotos/800x600/0/9056803.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-cacicazgos/1306040/,"US$ 1,850/Mes",101454.0,Los Cacicazgos,3.0,3.5,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,236.0,1/2 Ba�o-Aire Acondicionado-Area Servicio Independiente-Ascensor-Balc�n-Cuarto de Servicio-Estar Familiar-Lobby-Planta El�ctrica-Seguridad 24 Horas,10.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073534.jpg
supercasas,https://www.supercasas.com/naves-alquiler-autopista-duarte/1297114/,"US$ 2,160/Mes",118454.40000000001,Autopista Duarte,1.0,2.0,"Autopista Duarte, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,288.0,1/2 Ba�o-Agua Potable,2.0,https://img.supercasas.com/AdsPhotos/800x600/0/8979352.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-restauradores/1304055/,"RD$ 65,000/Mes",62808.90383080395,Los Restauradores,3.0,2.5,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,171.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Planta El�ctrica-Seguridad 24 Horas-Shutters-Terraza-Vestidores-Walk In Closet,14.0,https://img.supercasas.com/AdsPhotos/800x600/0/9052192.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-av--ecologica/1300930/,"RD$ 67,000/Mes",64741.485487136386,Av. Ecol�gica,3.0,2.0,"Av. Ecol�gica, Santo Domingo Este, Santo Domingo",Santo Domingo Este,Santo Domingo,232.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Area de Juegos Infantiles-Area Servicio Independiente-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Estudio-Family Room-Gazebo-Gimnasio-Inversor-Jacuzzi-Lobby-Patio-Piscina-Planta El�ctrica-Pozo-Sat�lite-Seguridad 24 Horas-Shutters-Terraza-Vestidores-Walk In Closet,28.0,https://img.supercasas.com/AdsPhotos/800x600/0/9019185.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1282355/,"US$ 2,500/Mes",137100.0,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,145.0,1/2 Ba�o-Agua Potable-Ascensor-Control de Acceso-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,9.0,https://img.supercasas.com/AdsPhotos/800x600/0/8822772.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-zona-universitaria/1306037/,US$ 875/Mes,47985.0,Zona Universitaria,2.0,2.5,"Zona Universitaria, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,86.0,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Balc�n-Gimnasio-Lobby-Planta El�ctrica-Seguridad 24 Horas,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073503.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1282716/,"US$ 1,700/Mes",93228.0,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,155.0,1/2 Ba�o-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,14.0,https://img.supercasas.com/AdsPhotos/800x600/0/8826720.jpg
supercasas,https://www.supercasas.com/penthouse-alquiler-gazcue/1299490/,"US$ 3,400/Mes",186456.0,Gazcue,3.0,3.5,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,260.0,1/2 Ba�o-Ascensor-Balc�n-Cuarto de Servicio-Gimnasio-Lobby-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,10.0,https://img.supercasas.com/AdsPhotos/800x600/0/9004260.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista-sur/1304686/,US$ 850/Mes,46614.0,Bella Vista Sur ,1.0,1.5,"Bella Vista Sur , Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,95.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Lobby-Seguridad 24 Horas-Vestidores-Walk In Closet,12.0,https://img.supercasas.com/AdsPhotos/800x600/0/9058945.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-serralles/1305647/,"US$ 1,000/Mes",54840.0,Serralles,1.0,1.0,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,60.0,Area de Juegos Infantiles-Ascensor-Cisterna-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores,11.0,https://img.supercasas.com/AdsPhotos/800x600/0/9069433.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1301616/,"US$ 1,300/Mes",71292.0,Naco,2.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,160.0,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estudio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza-Vestidores-Walk In Closet,16.0,https://img.supercasas.com/AdsPhotos/800x600/0/9026021.jpg
